Estado,Data_Ini_Mov,Hora_Ini_Mov,Data_Fim_Mov,Hora_Fim_Mov,Tempo,Dist_Perc_(m),Vel_Máx,Ponto_Inicial,Ponto_Final,Motorista,Placa
Parado Desligado,06/06/2020,12:01:39,06/06/2020,12:30:58,29m-19s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,12:30:58,06/06/2020,12:32:37,1m-39s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Desligado,06/06/2020,12:32:37,06/06/2020,12:32:38,1s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,12:32:38,06/06/2020,12:36:09,3m-31s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Desligado,06/06/2020,12:36:09,06/06/2020,12:51:08,14m-59s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,12:51:08,06/06/2020,12:57:03,5m-55s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,12:57:03,06/06/2020,13:11:20,14m-17s,10311,66 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,13:11:20,06/06/2020,13:22:20,11min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,13:22:20,06/06/2020,13:37:37,15m-17s,10499,64 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,13:37:37,06/06/2020,13:41:30,3m-53s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Desligado,06/06/2020,13:41:30,06/06/2020,17:34:28,3h-52m-58s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,17:34:28,06/06/2020,17:37:34,3m-6s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Desligado,06/06/2020,17:37:34,06/06/2020,17:37:35,1s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,17:37:35,06/06/2020,17:59:02,21m-27s,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,17:59:02,06/06/2020,18:02:02,3min,1200,32 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:02:02,06/06/2020,18:04:02,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:04:02,06/06/2020,18:09:02,5min,1350,36 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:09:02,06/06/2020,18:10:02,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:10:02,06/06/2020,18:13:02,3min,587,34 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:13:02,06/06/2020,18:14:02,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:14:02,06/06/2020,18:18:02,4min,579,12 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:18:02,06/06/2020,18:19:02,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:19:02,06/06/2020,18:20:02,1min,58,12 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:20:02,06/06/2020,18:21:02,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:21:02,06/06/2020,18:23:03,2m-1s,217,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:23:03,06/06/2020,18:24:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:24:03,06/06/2020,18:28:03,4min,494,17 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:28:03,06/06/2020,18:29:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:29:03,06/06/2020,18:31:03,2min,171,24 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:31:03,06/06/2020,18:32:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:32:03,06/06/2020,18:33:03,1min,152,6 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:33:03,06/06/2020,18:34:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:34:03,06/06/2020,18:35:03,1min,182,8 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:35:03,06/06/2020,18:36:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:36:03,06/06/2020,18:42:03,6min,1169,29 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:42:03,06/06/2020,18:43:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:43:03,06/06/2020,18:44:03,1min,48,13 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:44:03,06/06/2020,18:45:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:45:03,06/06/2020,18:47:03,2min,280,24 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:47:03,06/06/2020,18:51:03,4min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:51:03,06/06/2020,18:52:03,1min,94,11 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:52:03,06/06/2020,18:53:03,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:53:03,06/06/2020,18:54:03,1min,189,17 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,18:54:03,06/06/2020,18:56:03,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,18:56:03,06/06/2020,19:04:04,8m-1s,862,12 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:04:04,06/06/2020,19:05:04,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:05:04,06/06/2020,19:08:04,3min,354,13 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:08:04,06/06/2020,19:09:04,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:09:04,06/06/2020,19:11:04,2min,245,15 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:11:04,06/06/2020,19:12:04,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:12:04,06/06/2020,19:17:04,5min,546,20 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:17:04,06/06/2020,19:18:04,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:18:04,06/06/2020,19:19:04,1min,113,18 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:19:04,06/06/2020,19:21:04,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:21:04,06/06/2020,19:27:04,6min,972,22 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:27:04,06/06/2020,19:29:04,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:29:04,06/06/2020,19:32:04,3min,390,28 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:32:04,06/06/2020,19:33:04,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:33:04,06/06/2020,19:34:04,1min,133,6 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:34:04,06/06/2020,19:35:04,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:35:04,06/06/2020,19:36:05,1m-1s,66,8 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:36:05,06/06/2020,19:38:05,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:38:05,06/06/2020,19:41:05,3min,599,71 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:41:05,06/06/2020,19:44:05,3min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:44:05,06/06/2020,19:46:05,2min,271,11 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:46:05,06/06/2020,19:47:05,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:47:05,06/06/2020,19:48:05,1min,157,6 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:48:05,06/06/2020,19:51:05,3min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:51:05,06/06/2020,19:52:05,1min,104,18 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:52:05,06/06/2020,19:53:05,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:53:05,06/06/2020,19:54:05,1min,271,22 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:54:05,06/06/2020,19:55:05,1min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,19:55:05,06/06/2020,19:57:05,2min,267,10 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,19:57:05,06/06/2020,20:00:05,3min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:00:05,06/06/2020,20:02:05,2min,164,12 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Parado Ligado,06/06/2020,20:02:05,06/06/2020,20:04:05,2min,0,0 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
Andando,06/06/2020,20:04:05,06/06/2020,20:07:06,3m-1s,581,15 km/h,"Ijuí, RS,","Ijuí, RS,",-,IXS-7092
